Наименование,Регистрационный номер,Дата регистрации,Статус,Регион регистрации,Организационно-правовая форма,Год,"Валовая прибыль (убыток), RUB","Всего использовано средств, RUB","Всего поступило средств, RUB","Выручка, RUB","Дебиторская задолженность, RUB","Денежные средства и денежные эквиваленты, RUB","Доходы от участия в других организациях, RUB","Доходы, RUB","Заёмные средства (краткосрочные), RUB","Капитал и резервы, RUB","Коммерческие расходы, RUB","Кредиторская задолженность, RUB","Остаток средств на конец отчетного года, RUB","Пассивы всего, RUB","Прибыль (убыток) до налогообложения , RUB","Прибыль (убыток) от продажи, RUB","Прибыль от приносящей доход деятельности, RUB","Приобретение основных средств, инвентаря и иного имущества, RUB","Проценты к получению, RUB","Проценты к уплате, RUB","Прочие доходы, RUB","Прочие расходы, RUB","Расходы на содержание аппарата управления, RUB","Расходы на целевые мероприятия, RUB","Расходы, RUB","Себестоимость продаж, RUB",Среднесписочная численность работников,"Текущий налог на прибыль, RUB","Управленческие расходы, RUB","Чистая прибыль (убыток), RUB"
"101 КИЛОМЕТР. ПОДВИЖНИКИ МАЛОЯРОСЛАВЦА, БФ",1167700057568.0,2016-05-24 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1157700001140.0,2015-01-23 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,26152000.0,24597000.0,,,294000.0,,,,264000.0,,30000.0,264000.0,294000.0,,,,,,,27000.0,27000.0,644000.0,25308000.0,,,,,,
"1ПОМОГАЕТ, БФ",1167700056347.0,2016-04-28 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,1458000.0,1533000.0,,94000.0,19000.0,,,,133000.0,,38000.0,132000.0,171000.0,,,,,,,,,213000.0,1242000.0,,,0 - 5,,,
"3Д, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1197700012080.0,2019-08-13 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"459 ОРСПН, ФОНД",1217700471890.0,2021-10-06 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5 СВОБОД, БФЗЖ",1167700051826.0,2016-02-05 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5541 ДОБРО, БФ",1147799011612.0,2014-07-22 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,641697000.0,754602000.0,,82000.0,180424000.0,,,,180424000.0,,61000.0,180424000.0,180506000.0,,,,,,,,,16211000.0,625374000.0,,,11 - 15,,,
"60 ЛЕТ ПОБЕДЫ, НО ФОНД",1057748253860.0,2005-09-19 00:00:00,Действующая,Москва,Фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7 ЖИЗНЕЙ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1157700001689.0,2015-02-04 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,3000.0,,,,3000.0,-2000.0,,2000.0,,3000.0,,,,,,,,,,,,,,,,
"770, БФ",1197700007042.0,2019-05-08 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"XXI ВЕК БЕЗ РАКА, БФ",1097799042857.0,2009-12-15 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,472000.0,61000.0,,,,74000.0,,460000.0,,534000.0,-20000.0,,,,,,,20000.0,,,,,,,,-20000.0
"XXI ВЕК, РОФ",1027700370114.0,2001-12-28 00:00:00,Действующая,Москва,Общественные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"XXI ВЕК-ДЕТЯМ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1027739474234.0,2001-07-25 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
А ФОНД,1027700008093.0,2000-08-22 00:00:00,Действующая,Москва,Общественные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"А.П. МАРЕСЬЕВА, ФОНД",1027739200851.0,1997-04-28 00:00:00,Действующая,Москва,Общественные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"А.УСМАНОВА, ФОНД",1027729004269.0,2002-09-24 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,4516000.0,5000000.0,,481000.0,2610000.0,,,,3094000.0,,,3094000.0,3094000.0,,,,,,,,,1497000.0,2888000.0,,,0 - 5,,,
"А.Ф. РОМАНОВОЙ, БФ ИМ.",1117799005235.0,2011-03-22 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,475000.0,729000.0,,2000.0,779000.0,,,,781000.0,,,781000.0,781000.0,,,,,,,,,39000.0,436000.0,,,,,,
"АБИЛИТАЦИЯ, ФОНД",1077799027052.0,2007-11-01 00:00:00,Действующая,Москва,Общественные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АБС ЭЛЕКТРО, БФ",1037739325557.0,2002-06-10 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АВАНА, ХРИСТИАНСКИЙ БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1037739388280.0,1996-12-15 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АВАТАР, БФ",1127799005861.0,2012-04-02 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АВЕ МАРИЯ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ПОДДЕРЖКИ ГУМАНИТАРНЫХ ИНИЦИАТИВ",1137799022426.0,2013-12-11 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АВЕ МАРИЯ, Р.О.Ф.С.Р.К. И И. ИМ. Л.П. АБРАМОВОЙ",1037739585070.0,1997-09-22 00:00:00,Действующая,Москва,Общественные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АВИАЦИОННО-КОСМИЧЕСКИЙ ФОНД, МОФ",1037746023061.0,2003-12-24 00:00:00,Действующая,Москва,Общественные фонды,2017,,,,,1646000.0,22000.0,,,1000.0,45000.0,,1362000.0,,1668000.0,-53000.0,,,,,,16000.0,69000.0,,,,,0 - 5,1000.0,,-54000.0
"АВИАЦИЯ-ДЕТЯМ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1137799002032.0,2013-01-31 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АВРОРА, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1097799012805.0,2009-07-30 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,12000.0,,,,-12000.0
"АВРОРА, ФОНД",1057748151845.0,2005-09-08 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,4000.0,9000.0,,,,19000.0,,8000.0,,26000.0,,,,,,,,,,,,,,,,
"АВТОМИЛОСЕРДИЕ, ФОНД",1037739718246.0,1991-04-12 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АВТОМОРЕ, БФ",1177700021950.0,2017-12-13 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АГАПЕ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1037739205690.0,1998-05-14 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АГАФОН, ФОНД ПОДДЕРЖКИ И РАЗВИТИЯ ЭТИКИ, НАУКИ И ОБРАЗОВАНИЯ",1127799021536.0,2012-10-09 00:00:00,Действующая,Москва,Общественные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АДАБ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ПОДДЕРЖКИ",1027724001997.0,2002-08-20 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АДАМАНТ ЦЕНТР, РЕГИОНАЛЬНЫЙ ОБЩЕСТВЕННЫЙ ФОНД ПОМОЩИ ВЕТЕРАНАМ, ВОЕННОСЛУЖАЩИМ И СОТРУДНИКАМ ПРАВООХРАНИТЕЛЬНЫХ ОРГАНОВ",1027739719798.0,1999-10-26 00:00:00,Действующая,Москва,Общественные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АДВОКАТСКАЯ ИНИЦИАТИВА, ФОНД",1037739896226.0,2003-10-07 00:00:00,Действующая,Москва,Общественные фонды,2017,400000.0,29355000.0,27002000.0,5048000.0,1209000.0,4288000.0,,,,676000.0,1313000.0,9067000.0,750000.0,9780000.0,-10219000.0,-913000.0,,,,,,9306000.0,6138000.0,8951000.0,,4648000.0,11 - 15,55000.0,,-10275000.0
"АДЕЛИ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1097799011122.0,2009-06-22 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,50691000.0,52593000.0,,1664000.0,730000.0,,,,2311000.0,,118000.0,2311000.0,2429000.0,,,,,,,,,6096000.0,44595000.0,,,,,,
"АДЕМПИЕРЕ, ФОНД",1127799008325.0,2012-05-02 00:00:00,Действующая,Москва,Общественные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АДМИРАЛ УШАКОВ, БФВМК",1037739526857.0,1999-04-15 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АДЫГИ ИМ. Ю.Х. КАЛМЫКОВА, ФОНД",1117799020283.0,2011-10-06 00:00:00,Действующая,Москва,Фонды,2017,,4122000.0,4280000.0,,12000.0,170000.0,,,,182000.0,,,182000.0,182000.0,,,,,,,,,4122000.0,,,,0 - 5,,,
"АЗБУКА ЖИЗНИ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1157700012183.0,2015-08-03 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АЗБУКА Н, СО НКО БФ ДЕНИСА КУРАКИНА",1197700009011.0,2019-06-18 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АЗИЯ, ФОНД",1137799021271.0,2013-11-25 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АЗОРЭЛЬ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1167700058085.0,2016-05-30 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АИФ. ДОБРОЕ СЕРДЦЕ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1057748415977.0,2005-09-30 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,102295000.0,90555000.0,,40045000.0,2102000.0,,,,40741000.0,,518000.0,40741000.0,42147000.0,,,1431000.0,,,,,,7330000.0,92465000.0,,,,,,
"АЙАСТАН, ФОНД",1117799010229.0,2011-05-31 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АЙВЕНГО, НО БФ",1087799028877.0,2008-07-21 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,5000.0,,,,,,,23000.0,,5000.0,,,,,,,,,,,,,,,,
"АЙКЬЮ ДОБРО, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1217700464585.0,2021-10-01 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АКАДЕМИКА НОРБЕКОВА, ФОНД",1037739343025.0,2002-06-21 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,16000.0,,,,16000.0,,,,16000.0,,,,,,,,,,,,,,,,
"АКАДЕМИЯ ЖИЗНИ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1217700144947.0,2021-03-30 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АКАДЕМИЯ ЗАБОТЫ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1207700414954.0,2020-11-05 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АКАЙ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1177700010927.0,2017-07-06 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,4782000.0,4871000.0,,328000.0,9000.0,,,,643000.0,,230000.0,89000.0,1012000.0,,,,554000.0,,,,,3134000.0,1094000.0,,,,,,
"АКВАТИК, БФ",1207700371856.0,2020-10-07 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АККОРД, ННФ БФП И Р ШИ",1037739604506.0,2001-04-12 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АКТИВАЦИЯ, БФ",1187700018087.0,2018-10-10 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АЛАЙСКОЕ ОБЩЕСТВО ( АЛАЙ КООМУ ), БФ",1187700006890.0,2018-04-18 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АЛАНТЫ ФАРН, БФ",1167700064652.0,2016-09-16 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АЛАТЫРЬ, БФ",1167700060923.0,2016-07-19 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АЛЕКСАНДР НЕВСКИЙ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД СОДЕЙСТВИЯ ДУХОВНОМУ И НРАВСТВЕННОМУ РАЗВИТИЮ МОЛОДЕЖИ",1157700015186.0,2015-09-21 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,1000.0,,,,,-3000.0,,4000.0,,1000.0,,,,,,,,,,,,,,,,
"АЛЕКСАНДР, БФ",1127799000262.0,2012-01-12 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,1674000.0,1661000.0,,17000.0,120000.0,,,,137000.0,,2180000.0,137000.0,2317000.0,,,,,,,,,496000.0,1178000.0,,,0 - 5,,,
"АЛЕКСАНДРА ЖУКОВА, ФОНД",1057748314260.0,2005-09-22 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АЛЕКСАНДРА ПЯТИГОРСКОГО, ФОНД",1127799016927.0,2012-08-29 00:00:00,Действующая,Москва,Фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АЛЕКСАНДРОВСКИЙ КОМИТЕТ, МЕЖДУНАРОДНЫЙ БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1077799031166.0,2007-12-06 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АЛЕКСАННА, БФ СЕМЬИ ЛЬВОВЫХ",1187700004216.0,2018-03-12 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АЛЕНЬКИЙ ЦВЕТОЧЕК, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1127799014221.0,2012-07-24 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
АЛИМЕНТНЫЙ ФОНД,1207700071149.0,2020-02-18 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АЛИНЫ КАБАЕВОЙ, ФОНД",1087799027007.0,2008-06-23 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,74958000.0,67000000.0,,977000.0,23097000.0,,,,28053000.0,,320000.0,23633000.0,28494000.0,,,,400000.0,,,,,5290000.0,69268000.0,,,0 - 5,,,
"АЛИОТ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1197700002972.0,2019-02-25 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АЛИСА, БФ",1117799021010.0,2011-10-14 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АЛФАВИТ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1047796688642.0,2004-09-16 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,0 - 5,,,
"АЛЫЕ ПАРУСА, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1147799017365.0,2014-10-30 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АЛЫЕ ПАРУСА, НО БФ",1037707022088.0,2003-06-05 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АЛЬТА ВИТА, НО ФОНД",1037739066892.0,2000-07-10 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АЛЬТЕРНАТИВА, ФОНД",1037735004944.0,2003-02-20 00:00:00,Действующая,Москва,Общественные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АЛЬФА ЦР, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1187700010827.0,2018-06-28 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АЛЬФА, РЕГИОНАЛЬНЫЙ ОБЩЕСТВЕННЫЙ БЛАГОТВОРИТЕЛЬНЫЙ ФОНД СОДЕЙСТВИЯ ПРАВООХРАНИТЕЛЬНЫМ ОРГАНАМ",1037739536559.0,1996-05-29 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АЛЬФА-ШАНС, БФ",1137799022481.0,2013-12-11 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,363962000.0,366217000.0,,33000.0,16440000.0,,,,,,,16473000.0,16473000.0,,,,,,,,,802000.0,363160000.0,,,0 - 5,,,
"АМУР И ВЕРА, ФОНД",1037700236683.0,2001-03-13 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ПОМОЩИ И СОДЕЙСТВИЯ РАЗВИТИЮ СЕРДЕЧНО-СОСУДИСТОЙ ХИРУРГИИ,1127799012307.0,2012-06-27 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,77000.0,334000.0,,984000.0,1023000.0,,,,2007000.0,,,1023000.0,2007000.0,,,,,,,,,10000.0,67000.0,,,,,,
"АНАЛИТИЧЕСКИЙ ЦЕНТР ФОРУМ, ФОНД",1107799031801.0,2010-11-03 00:00:00,Действующая,Москва,Общественные фонды,2017,18678000.0,256576000.0,253031000.0,65260000.0,24512000.0,54591000.0,,,,76528000.0,,2041000.0,61270000.0,101357000.0,-5653000.0,-5609000.0,11000.0,,,,2000.0,46000.0,236010000.0,14613000.0,,46582000.0,51 - 100,,24287000.0,-4530000.0
"АНАСТАСИОС, НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1037700160552.0,2001-11-29 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АНАСТАСИС, БФ",1217700185890.0,2021-04-16 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АНАСТАСИЯ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1132300004209.0,2013-08-12 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,15809000.0,18169000.0,,936000.0,3354000.0,,,,4681000.0,,53000.0,4430000.0,4750000.0,12000.0,,12000.0,165000.0,11000.0,,10000.0,9000.0,1398000.0,14247000.0,,,0 - 5,,,12000.0
"АНГЕЛ ЖИЗНИ, БФ",1187700017405.0,2018-10-01 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АНГЕЛ, БФ",1197700003423.0,2019-03-06 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АНГЕЛА, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1147799018146.0,2014-11-19 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,10000.0,,,,10000.0,,,,10000.0,,,,,,,,,,,,,,,,
"АНГЕЛОЧЕК С ДОБРЫМ СЕРДЦЕМ, БФ",1197700001730.0,2019-02-05 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АНГЕЛЫ ОТЕЧЕСТВА, БФ",1187700007230.0,2018-04-20 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АНГЕЛЫ СРЕДИ НАС, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1167700068381.0,2016-10-10 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АНДРЕЯ БОГОЛЮБСКОГО, ФОНД",1117799010230.0,2011-06-01 00:00:00,Действующая,Москва,Общественные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,0 - 5,,,
"АНДРЕЯ ВОЗНЕСЕНСКОГО, ФОНД",1117799009767.0,2011-05-27 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,687000.0,55000.0,,,,1561000.0,,,,1561000.0,,,,,,,,,,,,,,,,
"АНДРЕЯ ГОНЧАРЕНКО, ФОНД",1117799021075.0,2011-10-17 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,127000.0,,,,,,,,,,,,,,,,,,,,,127000.0,,,,,,,
"АНДРЕЯ КУРАЕВА, ФОНД",1067746367710.0,2006-03-13 00:00:00,Действующая,Москва,Общественные фонды,2017,,,,,3000.0,,,,,3000.0,,,3000.0,3000.0,,,,,,,,,,,,,,,,
"АНДРЕЯ МЕЛЬНИЧЕНКО, ФОНД",1167700068370.0,2016-10-10 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,63645000.0,154925000.0,,34036000.0,57410000.0,,,,91837000.0,,367000.0,91280000.0,92204000.0,,,,557000.0,,,,,16109000.0,44734000.0,,,,,,
"АНДРЕЯ РУБЛЕВА, ФОНД",1177700021070.0,2017-11-28 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АНДРОМЕДА, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1147700000403.0,2014-12-26 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,2112000.0,2152000.0,,3000.0,1046000.0,,,,-75000.0,,1124000.0,-75000.0,1049000.0,,,,,,,,,31000.0,2071000.0,,,,,,
"АНИСКИН, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1177700003590.0,2017-02-27 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АННА МАРИЯ, БФ",1180400000220.0,2018-01-30 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АННА, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1126100002357.0,2012-06-06 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АННА, МНБФ",1047796727659.0,2004-09-30 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АНСАМБЛЯ ИМЕНИ ИГОРЯ МОИСЕЕВА, ФОНД",1147799016716.0,2014-10-22 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,14000.0,,,18000.0,11000.0,,,,400000.0,,29000.0,,429000.0,,,,,,,,,14000.0,,,,,,,
"АНСАР, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1027700389716.0,1998-02-04 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АНТЕЙ, РОБФ",1037739709260.0,1996-05-24 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,435000.0,709000.0,,1000.0,713000.0,,,,714000.0,,,714000.0,714000.0,,,,,,,,,10000.0,397000.0,,,,,,
"АНТИКРИЗИС, ФОНД",1097799002730.0,2009-02-06 00:00:00,Действующая,Москва,Общественные фонды,2017,,810000.0,1308000.0,,38000.0,41000.0,,,1725000.0,,,232000.0,-1878000.0,79000.0,,,,,,,,,810000.0,,,,,,,
"АНТИМАФИЯ, РОФ",1047746016119.0,1991-10-25 00:00:00,Действующая,Москва,Общественные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АНТИМИННЫЙ ЦЕНТР, ОФ",1027739111663.0,2001-11-01 00:00:00,Действующая,Москва,Общественные фонды,2017,,,,,,28000.0,,,,,,,,28000.0,,,,,,,,,,,,,,,,
"АНТИСТРЕСС, ФОНД",1067746374343.0,2006-03-14 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АНТОШКА, БФПН",1187700001279.0,2018-01-25 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АПОСТОЛ, БФ",1227700050148.0,2022-02-07 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АПОСТОЛА АНДРЕЯ ПЕРВОЗВАННОГО; ФОНД АНДРЕЯ ПЕРВОЗВАННОГО, ФОНД",1027746000446.0,2002-09-02 00:00:00,Действующая,Москва,Общественные фонды,2017,,207475000.0,191006000.0,,12926000.0,501000.0,,,,47863000.0,,6850000.0,35194000.0,60109000.0,4409000.0,,3527000.0,2893000.0,,,4409000.0,,52569000.0,151575000.0,,,11 - 15,882000.0,,3527000.0
"АРБАТСКИЙ, БФ",1057747609534.0,2005-07-28 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АРД КОНТИНЕНТ, НО БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1067799023819.0,2006-09-07 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"АРИНА РОДИОНОВНА, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1187700017779.0,2018-10-05 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
