Наименование,Регистрационный номер,Дата регистрации,Статус,Регион регистрации,Организационно-правовая форма,Год,"Валовая прибыль (убыток), RUB","Всего использовано средств, RUB","Всего поступило средств, RUB","Выручка, RUB","Дебиторская задолженность, RUB","Денежные средства и денежные эквиваленты, RUB","Доходы от участия в других организациях, RUB","Доходы, RUB","Заёмные средства (краткосрочные), RUB","Капитал и резервы, RUB","Коммерческие расходы, RUB","Кредиторская задолженность, RUB","Остаток средств на конец отчетного года, RUB","Пассивы всего, RUB","Прибыль (убыток) до налогообложения , RUB","Прибыль (убыток) от продажи, RUB","Прибыль от приносящей доход деятельности, RUB","Приобретение основных средств, инвентаря и иного имущества, RUB","Проценты к получению, RUB","Проценты к уплате, RUB","Прочие доходы, RUB","Прочие расходы, RUB","Расходы на содержание аппарата управления, RUB","Расходы на целевые мероприятия, RUB","Расходы, RUB","Себестоимость продаж, RUB",Среднесписочная численность работников,"Текущий налог на прибыль, RUB","Управленческие расходы, RUB","Чистая прибыль (убыток), RUB"
"РАДИ ЖИЗНИ, БФ",1121000000120.0,2012-03-15 00:00:00,Действующая,Карелия (Республика),Благотворительные фонды,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"РАДИО ТЕОС, ФОНД",1037828016841.0,1995-09-28 00:00:00,Действующая,Санкт-Петербург,Благотворительные фонды,2021,,2819000.0,17614000.0,,,14930000.0,,,,16794000.0,,,14930000.0,16794000.0,,,,,,,,,879000.0,,,,,,,
"РАДОНЕЖ, БФ",1145543024593.0,2014-06-16 00:00:00,Действующая,Омская область,Благотворительные фонды,2021,,,,,,10000.0,,,,10000.0,,,,10000.0,,,,,,,,,,,,,,,,
"РАДОНЕЖ, НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ПРАВОСЛАВНЫЙ БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1046303271233.0,2004-02-18 00:00:00,Действующая,Самарская область,Благотворительные фонды,2021,,,,,1603000.0,89000.0,,,1588000.0,104000.0,,,,1692000.0,,,,,,,,,,,,,,,,
"РАДОСТЬ ДЕТСТВА, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1121600000796.0,2012-02-21 00:00:00,Действующая,Республика Татарстан,Благотворительные фонды,2021,,,,,,237000.0,,,,237000.0,,,,237000.0,114000.0,,,,,,15639000.0,15525000.0,,,,,,,,114000.0
"РАДОСТЬ ЖИЗНИ, БФ",1126500000505.0,2012-07-16 00:00:00,Действующая,Сахалинская область,Благотворительные фонды,2021,,10051000.0,10141000.0,644000.0,,1055000.0,,,,11424000.0,,202000.0,853000.0,12479000.0,,,,732000.0,,,,,7825000.0,1494000.0,,644000.0,,,,
"РАДОСТЬ ЖИЗНИ, БФ",1133900001080.0,2013-04-23 00:00:00,Действующая,Калининградская область,Благотворительные фонды,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"РАДОСТЬ МАТЕРИНСТВА, БФ",1120327006128.0,2012-04-17 00:00:00,Действующая,Бурятия (Республика),Благотворительные фонды,2021,,5481000.0,8496000.0,,1565000.0,2717000.0,,,,4636000.0,,12000.0,4636000.0,4648000.0,,,,,,,,,1059000.0,4422000.0,,,,,,
"РАДОСТЬ МАТЕРИНСТВА-ПОМОЩЬ ГРУДНЫМ ДЕТЯМ, БФ",1177800001961.0,2017-04-26 00:00:00,Действующая,Санкт-Петербург,Благотворительные фонды,2021,,39000.0,30000.0,,,,,,,,,,-9000.0,,,,,,,,,,39000.0,,,,,,,
"РАДОСТЬ МОЯ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1161326057661.0,2016-10-25 00:00:00,Действующая,Мордовия (Республика),Благотворительные фонды,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"РАДОСТЬ МОЯ, БФ",1173443013040.0,2017-05-31 00:00:00,Действующая,Волгоградская область,Благотворительные фонды,2021,,5258000.0,5411000.0,,,170000.0,,,,170000.0,,,170000.0,170000.0,,,,,,,,,457000.0,4437000.0,,,,,,
"РАДОСТЬ МОЯ, ФОНД",1202900005549.0,2020-10-08 00:00:00,Действующая,Архангельская область,Благотворительные фонды,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"РАДОСТЬ, БФ",1096300000917.0,2009-04-02 00:00:00,Действующая,Самарская область,Благотворительные фонды,2021,,39980000.0,39062000.0,,110000.0,11274000.0,,,,,,,16157000.0,17752000.0,,,,,,,91000.0,91000.0,,14515000.0,,,,,,
"РАДОСТЬ, БФ СПГ",1152300002579.0,2015-09-03 00:00:00,Действующая,Краснодарский край,Благотворительные фонды,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"РАДУГА ДЕТЯМ, БФ",1149102031760.0,2014-08-18 00:00:00,Действующая,Республика Крым,Благотворительные фонды,2021,,3998000.0,5037000.0,,5009000.0,178000.0,,,,,,2499000.0,2688000.0,5187000.0,,,,,,,,,638000.0,3360000.0,,,,,,
"РАДУГА ДОБРА, БФ",1183600001012.0,2018-11-14 00:00:00,Действующая,Воронежская область,Благотворительные фонды,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"РАДУГА ДОБРА, БФ ПОМОЩИ НУЖДАЮЩИМСЯ",1181690044018.0,2018-05-28 00:00:00,Действующая,Республика Татарстан,Благотворительные фонды,2021,,1085000.0,1135000.0,,,65000.0,,,,65000.0,,,65000.0,65000.0,,,,,,,,,229000.0,856000.0,,,,,,
"РАДУГА ЖИЗНИ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1114400000483.0,2011-11-09 00:00:00,Действующая,Костромская область,Благотворительные фонды,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"РАДУГА ЖИЗНИ, БФ",1178600001612.0,2017-11-03 00:00:00,Действующая,Тюменская область,Благотворительные фонды,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"РАДУГА ЛЮБВИ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД СОЦИАЛЬНОЙ ПОДДЕРЖКИ",1105000004504.0,2010-08-23 00:00:00,Действующая,Московская область,Благотворительные фонды,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"РАДУГА ТАРУССКАЯ, БФ",1024000849608.0,2002-08-23 00:00:00,Действующая,Калужская область,Благотворительные фонды,2021,,2204000.0,2157000.0,,10000.0,95000.0,,,,,,,91000.0,105000.0,,,,,,,,,495000.0,1709000.0,,,,1000.0,,1000.0
"РАДУГА, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1092400000604.0,2009-04-08 00:00:00,Действующая,Красноярский край,Благотворительные фонды,2021,,555000.0,555000.0,,,,,,,,,,,,,,,,,,,,26000.0,529000.0,,,,,,
"РАДУГА, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1159102110760.0,2015-07-28 00:00:00,Действующая,Республика Крым,Благотворительные фонды,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"РАДУГА, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1163700050546.0,2016-08-23 00:00:00,Действующая,Ивановская область,Благотворительные фонды,2021,,388000.0,392000.0,,,,,,,,,,10000.0,,,,,,,,,,3000.0,385000.0,,,,,,
"РАДУГА, БФ",1035800005086.0,2000-08-24 00:00:00,Действующая,Пензенская область,Благотворительные фонды,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"РАДУГА, БФ",1156500000040.0,2015-01-23 00:00:00,Действующая,Сахалинская область,Благотворительные фонды,2021,,454000.0,527000.0,,33000.0,344000.0,,,,377000.0,,,344000.0,377000.0,,,,,,,,,122000.0,313000.0,,,,,,
"РАДУГА, БФ",1075000009281.0,2007-08-20 00:00:00,Действующая,Московская область,Благотворительные фонды,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"РАДУГА, БФПДИДС",1162300053926.0,2016-12-27 00:00:00,Действующая,Краснодарский край,Благотворительные фонды,2021,,65000.0,84000.0,,,19000.0,,,,,,,19000.0,19000.0,,,,,,,,,11000.0,54000.0,,,,,,
